Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 21.00, 0.00, -0.00, -0.00, -21.00, -0.00, -70.49, 463.09, 472.70, 13.51, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 23.00, 0.00, -0.00, -0.00, -23.00, -0.00, -164.81, 557.45, 567.02, 16.20, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 25.00, 0.00, -0.00, -0.00, -25.00, -0.00, -267.71, 660.39, 669.92, 19.14, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 27.00, 0.00, -0.00, -0.00, -27.00, -0.00, -379.19, 771.91, 781.40, 22.33, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 29.00, 0.00, -0.00, -0.00, -29.00, -0.00, -499.24, 892.01, 901.45, 25.76, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 31.00, 0.00, -0.00, -0.00, -31.00, -0.00, -627.86, 1020.69, 1030.07, 29.43, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 33.00, 0.00, -0.00, -0.00, -33.00, -0.00, -765.06, 1157.94, 1167.27, 33.35, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 35.00, 0.00, -0.00, -0.00, -35.00, -0.00, -910.84, 1303.78, 1313.05, 37.52, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 37.00, 0.00, -0.00, -0.00, -37.00, -0.00, -1065.19, 1458.19, 1467.40, 41.93, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 39.00, 0.00, -0.00, -0.00, -39.00, -0.00, -1228.11, 1621.18, 1630.32, 46.58, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 41.00, 0.00, -0.00, -0.00, -41.00, -0.00, -1399.61, 1792.75, 1801.82, 51.48, 1
28031, 2.80, 40.00, 2.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -41.68, 43.33, 1.93, 0
2000000, 200.00, 40.00, 2.00, 0.00, 1.63, 0.00, -0.00, 3.00, 0.00, 0.45, 0.03, -2.55, 0.03, 393.30, -0.90, 8.94, 0.40, 0
2000000, 200.00, 40.00, 2.00, 0.00, 1.51, 0.00, -0.00, 5.00, 0.00, -0.00, -0.00, -5.00, -0.00, 367.76, 24.69, 34.45, 1.53, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 7.00, 0.00, -0.00, -0.00, -7.00, -0.00, 334.68, 57.80, 67.53, 3.00, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 9.00, 0.00, -0.00, -0.00, -9.00, -0.00, 290.58, 101.94, 111.63, 4.96, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00, -11.00, -0.00, 235.45, 157.12, 166.75, 7.41, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00, -13.00, -0.00, 169.30, 223.33, 232.90, 10.35, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00, -15.00, -0.00, 92.13, 300.59, 310.08, 13.78, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 0.79, 17.00, 0.00, 0.79, -0.00, -16.21, -0.00, 40.17, 352.60, 362.04, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 2.79, 19.00, 0.00, 2.79, -0.00, -16.21, -0.00, 40.17, 352.60, 362.04, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 4.79, 21.00, 0.00, 4.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.04, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 6.79, 23.00, 0.00, 6.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.04, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 8.79, 25.00, 0.00, 8.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.04, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 10.79, 27.00, 0.00, 10.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.05, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 12.79, 29.00, 0.00, 12.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.05, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 14.79, 31.00, 0.00, 14.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.05, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 16.79, 33.00, 0.00, 16.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.05, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 18.79, 35.00, 0.00, 18.79, -0.00, -16.21, -0.00, 40.16, 352.60, 362.05, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, -0.00, 37.00, 0.00, -0.00, -0.00, -37.00, -0.00, -1484.45, 1878.72, 1886.66, 83.85, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 0.00, 39.00, 0.00, -0.00, -0.00, -39.00, -0.00, -1693.92, 2088.40, 2096.13, 93.16, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, -0.00, 41.00, 0.00, -0.00, -0.00, -41.00, -0.00, -1914.42, 2309.12, 2316.63, 102.96, 1
25246, 2.52, 40.00, 4.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -34.49, 36.18, 1.97, 0
2000000, 200.00, 40.00, 4.00, 0.00, 1.07, 0.00, 1.99, 3.00, 0.00, -3.29, 2.92, -6.29, 2.92, 327.24, 74.48, 81.08, 4.42, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.50, 0.00, 0.00, 5.00, 0.00, -0.00, -0.00, -5.00, -0.00, 360.10, 32.38, 42.11, 2.30, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, -0.00, 7.00, 0.00, -0.00, -0.00, -7.00, -0.00, 319.67, 72.87, 82.54, 4.50, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, -0.00, 9.00, 0.00, -0.00, -0.00, -9.00, -0.00, 265.77, 126.84, 136.44, 7.44, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00, -11.00, -0.00, 198.40, 194.32, 203.81, 11.12, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00, -13.00, -0.00, 117.55, 275.29, 284.66, 15.53, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 0.50, 15.00, 0.00, 0.50, -0.00, -14.50, -0.00, 48.21, 344.73, 354.00, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 2.50, 17.00, 0.00, 2.50, -0.00, -14.50, -0.00, 48.21, 344.73, 354.00, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 4.50, 19.00, 0.00, 4.50, -0.00, -14.50, -0.00, 48.21, 344.73, 354.00, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 6.50, 21.00, 0.00, 6.50, -0.00, -14.50, -0.00, 48.21, 344.73, 354.00, 19.31, 1
