step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
317000      19.000000     2     0.130114     244.621954     244.620864     244.636548
318000      20.000000     0     0.132679     244.675719     244.627684     0.000000
319000      19.000000     2     0.135652     244.621954     244.620864     244.636565
320000      20.000000     0     0.138311     244.675729     244.627684     0.000000
321000      19.000000     2     0.141396     244.621954     244.620864     244.636583
322000      20.000000     0     0.144154     244.675739     244.627684     0.000000
323000      19.000000     2     0.147357     244.621954     244.620864     244.636601
324000      20.000000     0     0.150222     244.675749     244.627684     0.000000
325000      19.000000     2     0.153554     244.621954     244.620864     244.636619
326000      20.000000     0     0.156535     244.675760     244.627684     0.000000
327000      19.000000     2     0.160010     244.621954     244.620864     244.636639
328000      20.000000     0     0.163121     244.675772     244.627684     0.000000
329000      19.000000     2     0.166756     244.621954     244.620864     244.636659
330000      20.000000     0     0.170013     244.675784     244.627684     0.000000
331000      19.000000     2     0.173827     244.621954     244.620864     244.636679
332000      20.000000     0     0.177250     244.675798     244.627684     0.000000
333000      19.000000     2     0.181268     244.621954     244.620864     244.636700
334000      20.000000     0     0.184878     244.675811     244.627684     0.000000
335000      19.000000     2     0.189129     244.621954     244.620864     244.636723
336000      20.000000     0     0.192952     244.675826     244.627684     0.000000
337000      19.000000     2     0.197466     244.621954     244.620864     244.636745
338000      20.000000     0     0.201528     244.675841     244.627684     0.000000
339000      19.000000     2     0.206338     244.621954     244.620864     244.636769
340000      20.000000     1     0.210670     244.675858     244.627684     0.000000
341000      20.000000     0     0.215059     244.675858     244.627709     0.000000
342000      19.000000     2     0.220281     244.621954     244.620864     244.636789
343000      20.000000     0     0.224998     244.675875     244.627709     0.000000
344000      19.000000     2     0.230619     244.621954     244.620864     244.636815
345000      20.000000     0     0.235691     244.675894     244.627709     0.000000
346000      19.000000     2     0.241742     244.621954     244.620864     244.636842
347000      20.000000     0     0.247192     244.675913     244.627709     0.000000
348000      19.000000     2     0.253693     244.621954     244.620864     244.636870
349000      20.000000     0     0.259534     244.675934     244.627709     0.000000
350000      19.000000     2     0.266494     244.621954     244.620864     244.636899
351000      20.000000     0     0.272725     244.675956     244.627709     0.000000
352000      19.000000     2     0.280133     244.621954     244.620864     244.636930
353000      20.000000     0     0.286737     244.675980     244.627709     0.000000
354000      19.000000     2     0.294561     244.621954     244.620864     244.636961
355000      20.000000     0     0.301498     244.676004     244.627709     0.000000
356000      19.000000     2     0.309681     244.621954     244.620864     244.636995
357000      20.000000     0     0.316889     244.676031     244.627709     0.000000
358000      19.000000     2     0.325347     244.621954     244.620864     244.637030
359000      20.000000     0     0.332746     244.676058     244.627709     0.000000
360000      19.000000     2     0.341370     244.621954     244.620864     244.637066
361000      20.000000     0     0.348855     244.676088     244.627709     0.000000
362000      19.000000     2     0.357516     244.621954     244.620864     244.637104
363000      20.000000     0     0.364970     244.676119     244.627709     0.000000
364000      19.000000     2     0.373524     244.621954     244.620864     244.637144
365000      20.000000     0     0.380821     244.676151     244.627709     0.000000
366000      19.000000     2     0.389118     244.621954     244.620864     244.637185
367000      20.000000     0     0.396129     244.676186     244.627709     0.000000
368000      19.000000     2     0.404021     244.621954     244.620864     244.637228
369000      20.000000     0     0.410625     244.676221     244.627709     0.000000
370000      19.000000     2     0.417979     244.621954     244.620864     244.637272
371000      20.000000     0     0.424068     244.676258     244.627709     0.000000
372000      19.000000     2     0.430770     244.621954     244.620864     244.637318
373000      20.000000     0     0.436261     244.676297     244.627709     0.000000
