episode,alpha_idx,action_0,action_1,action_2
41,9,250.000380,250.000014,250.000021
41,10,250.000068,250.000000,250.000000
41,11,250.000012,250.000007,250.000000
41,12,250.000000,250.000000,250.000000
41,13,250.000000,250.000000,250.000000
41,14,250.000000,250.000000,250.000000
41,15,250.000000,250.000000,0.000000

42,0,0.000000,249.554957,249.985558
42,1,249.575455,249.554764,249.698774
42,2,249.456143,248.969926,249.854101
42,3,249.560143,249.649482,249.746146
42,4,249.611495,249.565938,249.789104
42,5,249.556197,249.582439,249.742267
42,6,249.640809,249.862130,249.779800
42,7,249.999172,249.752626,249.773554
42,8,250.022722,250.001760,250.000694
42,9,250.001284,250.000014,250.000021
42,10,250.000068,250.000000,250.000000
42,11,250.000012,250.000007,250.000000
42,12,250.000000,250.000000,250.000000
42,13,250.000000,250.000000,250.000000
42,14,250.000000,250.000000,250.000000
42,15,250.000000,250.000000,0.000000

43,0,0.000000,249.554957,249.985558
43,1,249.575455,249.554764,249.698774
43,2,249.456143,248.969926,249.854101
43,3,249.560143,249.649482,249.746146
43,4,249.611495,249.565938,249.789151
43,5,249.556524,249.582439,249.749284
43,6,249.646324,249.650173,249.785509
43,7,249.996049,249.752872,249.774289
43,8,250.022647,250.001781,250.000694
43,9,250.001313,250.000014,250.000021
43,10,250.000069,250.000000,250.000000
43,11,250.000012,250.000007,250.000000
43,12,250.000000,250.000000,250.000000
43,13,250.000000,250.000000,250.000000
43,14,250.000000,250.000000,250.000000
43,15,250.000000,250.000000,0.000000

44,0,0.000000,249.554957,249.985558
44,1,249.575455,249.554764,249.698774
44,2,249.456143,248.969926,249.854101
44,3,249.560143,249.649482,249.746146
44,4,249.611495,249.565938,249.789151
44,5,249.556524,249.582439,249.752613
44,6,249.649986,249.653121,249.872519
44,7,249.708136,249.756518,249.778681
44,8,250.022596,250.001781,250.000694
44,9,250.001341,250.000014,250.000021
44,10,250.000070,250.000000,250.000000
44,11,250.000012,250.000007,250.000000
44,12,250.000000,250.000000,250.000000
44,13,250.000000,250.000000,250.000000
44,14,250.000000,250.000000,250.000000
44,15,250.000000,250.000000,0.000000

45,0,0.000000,249.554957,249.985558
45,1,249.575455,249.554764,249.698774
45,2,249.456143,248.969926,249.854101
45,3,249.560143,249.649482,249.746146
45,4,249.611495,249.565938,249.789151
45,5,249.556524,249.582439,249.752613
45,6,249.649986,249.653121,249.874330
45,7,249.713218,249.757700,249.864628
