Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, -0.00, 0.00, 39.00, 0.00, 0.00, -0.00, -39.00, -0.00, -1694.54, 2089.02, 2096.10, 93.16, 1
2000000, 200.00, 40.00, 2.00, 0.79, 1.53, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, -1913.42, 2308.12, 2316.60, 102.96, 1
86545, 8.65, 40.00, 4.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -35.51, 37.21, 2.03, 0
2000000, 200.00, 40.00, 4.00, 0.79, 1.58, -0.02, -0.00, 3.00, 0.00, 0.92, 0.01, -2.08, 0.01, 394.89, -2.49, 7.30, 0.40, 0
2000000, 200.00, 40.00, 4.00, 0.79, 1.50, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 360.10, 32.38, 42.11, 2.30, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, -0.00, 7.00, 0.00, -0.00, -0.00, -7.00, -0.00, 319.68, 72.86, 82.53, 4.50, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, -0.00, 9.00, 0.00, 0.00, -0.00, -9.00, -0.00, 265.63, 126.99, 136.43, 7.44, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 198.53, 194.19, 203.81, 11.12, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, -0.00, 13.00, 0.00, 0.00, -0.00, -13.00, -0.00, 117.51, 275.33, 284.66, 15.53, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 0.50, 15.00, 0.00, 0.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, 0.00, 2.50, 17.00, 0.00, 2.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, 0.00, 4.50, 19.00, 0.00, 4.50, 0.00, -14.50, 0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 6.50, 21.00, 0.00, 6.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 8.50, 23.00, 0.00, 8.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 10.50, 25.00, 0.00, 10.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 12.50, 27.00, 0.00, 12.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 14.50, 29.00, 0.00, 14.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
2000000, 200.00, 40.00, 4.00, 0.79, 1.51, -0.00, 16.50, 31.00, 0.00, 16.50, -0.00, -14.50, -0.00, 48.27, 344.68, 353.94, 19.31, 1
