Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
29237, 2.92, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.00, 317.55, 311.24, 311.18, 6.39, 8.89, -0.18, 8.89, 0
235553, 23.56, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 981.00, -1.47, 9.95, -1.75, 9.80, 0.28, 0.28, 0.05, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.31, 0.00, 0.00, 5.00, 0.00, 4.35, -1.16,  -0.65, -1.16, 989.27, -8.55, 1.88, -1.64, 0.92, 0.05, 0.03, 0.05, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 7.00, 0.00, -0.00, 0.00,  -7.00, 0.00, 938.24, 42.79, 52.57, 0.00, 52.57, 1.50, 1.50, -0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 9.00, 0.00, 0.00, -0.00,  -9.00, -0.00, 903.99, 77.05, 86.82, -0.00, 86.82, 2.48, 2.48, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 861.11, 119.94, 129.70, -0.00, 129.70, 3.71, 3.71, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 809.66, 171.42, 181.15, -0.00, 181.15, 5.18, 5.18, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 749.64, 231.46, 241.17, -0.00, 241.17, 6.89, 6.89, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 681.04, 300.09, 309.77, -0.00, 309.77, 8.85, 8.85, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 19.00, 0.00, -0.00, -0.00,  -19.00, -0.00, 603.86, 377.30, 386.95, -0.00, 386.95, 11.06, 11.06, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 21.00, 0.00, -0.00, -0.00,  -21.00, -0.00, 518.11, 463.08, 472.70, -0.01, 472.70, 13.51, 13.51, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 23.00, 0.00, -0.00, -0.00,  -23.00, -0.00, 423.79, 557.45, 567.02, -0.01, 567.02, 16.20, 16.20, 0.00, 1
