t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
326000       57.199814       26.687201      14.917510      0.000000      13.347478      15.924252     18.961510
327000       57.216614       26.961917      15.108953      0.000000      13.485521      16.213181     19.328372
328000       57.231841       27.240883      15.304113      0.000000      13.625713      16.504233     19.704950
329000       57.245344       27.524249      15.503091      0.000000      13.768129      16.797222     20.092097
330000       57.256969       27.812169      15.705997      0.000000      13.912847      17.091931     20.490702
331000       57.266555       28.104794      15.912951      0.000000      14.059942      17.388100     20.901691
332000       57.273938       28.402274      16.124080      0.000000      14.209490      17.685427     21.326012
333000       57.278953       28.704757      16.339523      0.000000      14.361564      17.983555     21.764636
334000       57.281432       29.012384      16.559428      0.000000      14.516235      18.282067     22.218539
335000       57.281206       29.325287      16.783953      0.000000      14.673567      18.580477     22.688692
336000       57.278078       29.642939      17.012756      0.000000      14.833295      18.877648     23.073414
337000       57.271750       29.965621      17.245988      0.000000      14.995559      19.173218     23.575949
338000       57.262015       30.294179      17.484349      0.000000      15.160783      19.467177     24.099166
339000       57.248726       30.628679      17.728048      0.000000      15.328998      19.758666     24.643752
340000       57.231745       30.969158      17.977303      0.000000      15.500222      20.046704     25.210365
341000       57.210947       31.315617      18.232337      0.000000      15.674453      20.330189     25.799498
342000       57.186224       31.668020      18.493375      0.000000      15.851670      20.607887     26.411448
343000       57.157483       32.026286      18.760648      0.000000      16.031831      20.878431     27.046289
344000       57.124656       32.390294      19.034383      0.000000      16.214872      21.140324     27.703834
345000       57.087693       32.759868      19.314806      0.000000      16.400703      21.391942     28.383620
346000       57.046571       33.134788      19.602134      0.000000      16.589209      21.631541     29.084876
347000       57.001292       33.514776      19.896578      0.000000      16.780248      21.857272     29.806513
348000       56.951885       33.899507      20.198335      0.000000      16.973654      22.067191     30.547115
349000       56.898407       34.288600      20.507585      0.000000      17.169231      22.259289     31.304940
350000       56.840946       34.681624      20.824492      0.000000      17.366759      22.431509     32.077925
351000       56.779616       35.078100      21.149194      0.000000      17.565996      22.581781     32.863707
352000       56.714561       35.477502      21.481808      0.000000      17.766673      22.708048     33.659643
353000       56.645953       35.879263      21.822420      0.000000      17.968502      22.808310     34.462849
354000       56.573993       36.282779      22.171087      0.000000      18.171176      22.880649     35.270234
355000       56.498909       36.687412      22.527835      0.000000      18.374374      22.923277     36.078542
356000       56.420953       37.092498      22.892658      0.000000      18.577759      22.934568     36.884406
357000       56.340405       37.497352      23.265512      0.000000      18.780984      22.913094     37.684390
358000       56.257568       37.901275      23.646322      0.000000      18.983697      22.857659     38.475042
359000       56.172770       38.303555      24.034978      0.000000      19.185541      22.767331     39.252943
360000       56.086358       38.703482      24.431335      0.000000      19.386157      22.641463     40.014756
361000       55.998702       39.100347      24.835216      0.000000      19.585190      22.479721     40.757271
362000       55.909182       39.493646      25.245655      0.000000      19.782381      22.282509     41.327745
