step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
370000      20.000000     0     0.423130     246.662259     246.622358     0.000000
371000      19.000000     2     0.429890     246.627446     246.627807     246.628040
372000      20.000000     0     0.435432     246.662263     246.622358     0.000000
373000      19.000000     1     0.441457     246.627446     246.627807     246.628045
374000      19.000000     2     0.447237     246.627446     246.627811     246.628045
375000      20.000000     0     0.451873     246.662267     246.622358     0.000000
376000      19.000000     2     0.456791     246.627446     246.627811     246.628050
377000      20.000000     0     0.460693     246.662271     246.622358     0.000000
378000      19.000000     2     0.464766     246.627446     246.627811     246.628055
379000      20.000000     0     0.467962     246.662275     246.622358     0.000000
380000      19.000000     2     0.471236     246.627446     246.627811     246.628060
381000      20.000000     0     0.473775     246.662280     246.622358     0.000000
382000      19.000000     2     0.476320     246.627446     246.627811     246.628065
383000      20.000000     0     0.478269     246.662284     246.622358     0.000000
384000      19.000000     2     0.480169     246.627446     246.627811     246.628070
385000      20.000000     0     0.481606     246.662288     246.622358     0.000000
386000      19.000000     2     0.482957     246.627446     246.627811     246.628075
387000      20.000000     0     0.483965     246.662293     246.622358     0.000000
388000      19.000000     2     0.484864     246.627446     246.627811     246.628080
389000      20.000000     0     0.485526     246.662297     246.622358     0.000000
390000      19.000000     2     0.486066     246.627446     246.627811     246.628085
391000      20.000000     0     0.486460     246.662302     246.622358     0.000000
392000      19.000000     2     0.486729     246.627446     246.627811     246.628090
393000      20.000000     0     0.486925     246.662306     246.622358     0.000000
394000      19.000000     2     0.486998     246.627446     246.627811     246.628096
395000      20.000000     0     0.487056     246.662311     246.622358     0.000000
396000      19.000000     2     0.486999     246.627446     246.627811     246.628101
397000      20.000000     0     0.486969     246.662315     246.622358     0.000000
398000      19.000000     2     0.486833     246.627446     246.627811     246.628106
399000      20.000000     0     0.486755     246.662320     246.622358     0.000000
400000      19.000000     2     0.486581     246.627446     246.627811     246.628111
401000      20.000000     0     0.486485     246.662325     246.622358     0.000000
402000      19.000000     2     0.486305     246.627446     246.627811     246.628116
403000      20.000000     0     0.486213     246.662329     246.622358     0.000000
404000      19.000000     2     0.486047     246.627446     246.627811     246.628122
405000      20.000000     0     0.485975     246.662334     246.622358     0.000000
406000      19.000000     2     0.485838     246.627446     246.627811     246.628127
407000      20.000000     0     0.485795     246.662338     246.622358     0.000000
408000      19.000000     2     0.485696     246.627446     246.627811     246.628132
409000      20.000000     0     0.485688     246.662343     246.622358     0.000000
410000      19.000000     2     0.485632     246.627446     246.627811     246.628137
411000      20.000000     0     0.485661     246.662347     246.622358     0.000000
412000      19.000000     2     0.485648     246.627446     246.627811     246.628142
413000      20.000000     0     0.485714     246.662352     246.622358     0.000000
414000      19.000000     2     0.485744     246.627446     246.627811     246.628148
415000      20.000000     0     0.485845     246.662356     246.622358     0.000000
416000      19.000000     2     0.485915     246.627446     246.627811     246.628153
417000      20.000000     0     0.486050     246.662361     246.622358     0.000000
418000      19.000000     2     0.486157     246.627446     246.627811     246.628158
419000      20.000000     0     0.486292     246.662365     246.622358     0.000000
420000      19.000000     2     0.486433     246.627446     246.627811     246.628163
421000      20.000000     0     0.486474     246.662370     246.622358     0.000000
422000      19.000000     2     0.486542     246.627446     246.627811     246.628168
423000      20.000000     0     0.486506     246.662374     246.622358     0.000000
424000      19.000000     2     0.486494     246.627446     246.627811     246.628174
425000      20.000000     0     0.486397     246.662379     246.622358     0.000000
426000      19.000000     2     0.486320     246.627446     246.627811     246.628179
427000      20.000000     0     0.486173     246.662383     246.622358     0.000000
428000      19.000000     2     0.486043     246.627446     246.627811     246.628184
429000      20.000000     0     0.485856     246.662388     246.622358     0.000000
430000      19.000000     2     0.485684     246.627446     246.627811     246.628189
431000      20.000000     0     0.485464     246.662392     246.622358     0.000000
432000      19.000000     2     0.485258     246.627446     246.627811     246.628195
433000      20.000000     0     0.485013     246.662397     246.622358     0.000000
434000      19.000000     2     0.484780     246.627446     246.627811     246.628200
435000      20.000000     0     0.484514     246.662401     246.622358     0.000000
436000      19.000000     2     0.484258     246.627446     246.627811     246.628205
