t,x_kite,z_kite,x_block,z_block,theta,vtheta,windx,windy,v_block,Tension
199000,87.082288,10.410145,38.178005,0.000000,0.209736,0.065550,20.000000,0.000000,16.066466,446.203058
200000,87.234832,10.448783,38.338790,0.000000,0.210527,0.070627,20.000000,0.000000,16.091342,630.719659
201000,87.387008,10.489902,38.499771,0.000000,0.211368,0.074264,20.000000,0.000000,16.105415,517.823296
202000,87.538845,10.533555,38.660996,0.000000,0.212260,0.079527,20.000000,0.000000,16.140530,730.108616
203000,87.690375,10.579782,38.822510,0.000000,0.213206,0.083297,20.000000,0.000000,16.162931,597.864946
204000,87.841632,10.628622,38.984366,0.000000,0.214206,0.088690,20.000000,0.000000,16.209436,840.077489
205000,87.992654,10.680098,39.146615,0.000000,0.215259,0.092544,20.000000,0.000000,16.241024,685.771091
206000,88.143486,10.734231,39.309314,0.000000,0.216368,0.097991,20.000000,0.000000,16.299968,959.364423
207000,88.294172,10.791022,39.472518,0.000000,0.217531,0.101863,20.000000,0.000000,16.341486,780.233826
208000,88.444764,10.850467,39.636288,0.000000,0.218749,0.107267,20.000000,0.000000,16.413705,1085.621481
209000,88.595316,10.912544,39.800681,0.000000,0.220020,0.111077,20.000000,0.000000,16.465682,879.052792
210000,88.745888,10.977216,39.965762,0.000000,0.221346,0.116323,20.000000,0.000000,16.551672,1215.286265
211000,88.896540,11.044432,40.131588,0.000000,0.222724,0.119978,20.000000,0.000000,16.614328,979.077339
212000,89.047340,11.114123,40.298225,0.000000,0.224153,0.124938,20.000000,0.000000,16.714115,1343.599845
213000,89.198354,11.186204,40.465728,0.000000,0.225632,0.128336,20.000000,0.000000,16.787260,1076.282673
214000,89.349656,11.260571,40.634160,0.000000,0.227158,0.132875,20.000000,0.000000,16.900286,1464.828518
215000,89.501316,11.337107,40.803575,0.000000,0.228730,0.135911,20.000000,0.000000,16.983248,1166.016100
216000,89.653412,11.415672,40.974028,0.000000,0.230343,0.139899,20.000000,0.000000,17.108298,1572.713730
217000,89.806015,11.496118,41.145567,0.000000,0.231996,0.142475,20.000000,0.000000,17.199886,1243.415382
218000,89.959204,11.578274,41.318238,0.000000,0.233685,0.145795,20.000000,0.000000,17.335078,1661.117807
219000,90.113048,11.661965,41.492080,0.000000,0.235406,0.147828,20.000000,0.000000,17.433604,1303.952247
220000,90.267622,11.746996,41.667128,0.000000,0.237155,0.150388,20.000000,0.000000,17.576459,1724.767218
221000,90.422993,11.833173,41.843408,0.000000,0.238929,0.151817,20.000000,0.000000,17.679822,1344.005757
222000,90.579227,11.920283,42.020944,0.000000,0.240722,0.153558,20.000000,0.000000,17.827403,1759.945493
223000,90.736383,12.008122,42.199747,0.000000,0.242531,0.154349,20.000000,0.000000,17.933225,1361.343688
224000,90.894518,12.096472,42.379826,0.000000,0.244352,0.155251,20.000000,0.000000,18.082349,1764.980048
225000,91.053680,12.185127,42.561179,0.000000,0.246180,0.155400,20.000000,0.000000,18.188147,1355.401308
226000,91.213915,12.273873,42.743800,0.000000,0.248010,0.155482,20.000000,0.000000,18.335616,1740.411608
227000,91.375258,12.362513,42.927675,0.000000,0.249840,0.155016,20.000000,0.000000,18.438984,1327.296582
228000,91.537739,12.450847,43.112782,0.000000,0.251663,0.154330,20.000000,0.000000,18.581811,1688.818077
229000,91.701382,12.538691,43.299097,0.000000,0.253478,0.153298,20.000000,0.000000,18.680582,1279.590831
230000,91.866203,12.625868,43.486585,0.000000,0.255279,0.151926,20.000000,0.000000,18.816179,1614.354406
231000,92.032213,12.712217,43.675212,0.000000,0.257065,0.150395,20.000000,0.000000,18.908545,1215.866912
232000,92.199413,12.797583,43.864934,0.000000,0.258830,0.148437,20.000000,0.000000,19.034841,1522.132110
233000,92.367802,12.881833,44.055709,0.000000,0.260574,0.146486,20.000000,0.000000,19.119424,1140.230479
234000,92.537371,12.964841,44.247487,0.000000,0.262292,0.144049,20.000000,0.000000,19.234926,1417.578380
235000,92.708106,13.046498,44.440219,0.000000,0.263984,0.141762,20.000000,0.000000,19.310790,1056.837223
236000,92.879987,13.126708,44.633852,0.000000,0.265646,0.138955,20.000000,0.000000,19.414569,1305.888778
237000,93.052994,13.205387,44.828334,0.000000,0.267277,0.136411,20.000000,0.000000,19.481200,969.519061
238000,93.227097,13.282467,45.023611,0.000000,0.268876,0.133338,20.000000,0.000000,19.572840,1191.638497
239000,93.402270,13.357887,45.219629,0.000000,0.270441,0.130613,20.000000,0.000000,19.630085,881.541990
240000,93.578476,13.431604,45.416333,0.000000,0.271971,0.127364,20.000000,0.000000,19.709597,1078.566759
241000,93.755685,13.503580,45.613673,0.000000,0.273466,0.124526,20.000000,0.000000,19.757599,795.492952
242000,93.933857,13.573789,45.811593,0.000000,0.274925,0.121181,20.000000,0.000000,19.825325,969.512087
243000,94.112957,13.642212,46.010046,0.000000,0.276347,0.118283,20.000000,0.000000,19.864446,713.270602
244000,94.292942,13.708842,46.208978,0.000000,0.277732,0.114907,20.000000,0.000000,19.920968,866.457605
245000,94.473778,13.773673,46.408345,0.000000,0.279081,0.111997,20.000000,0.000000,19.951721,636.146214
246000,94.655421,13.836713,46.608097,0.000000,0.280393,0.108642,20.000000,0.000000,19.997776,770.642597
247000,94.837835,13.897966,46.808192,0.000000,0.281668,0.105755,20.000000,0.000000,20.020768,564.862518
248000,95.020976,13.957451,47.008587,0.000000,0.282907,0.102460,20.000000,0.000000,20.057178,682.703252
249000,95.204810,14.015182,47.209240,0.000000,0.284109,0.099622,20.000000,0.000000,20.073058,499.745207
250000,95.389294,14.071183,47.410113,0.000000,0.285276,0.096417,20.000000,0.000000,20.100681,602.816098
251000,95.574394,14.125475,47.611169,0.000000,0.286408,0.093649,20.000000,0.000000,20.110109,440.810272
252000,95.760071,14.178089,47.812372,0.000000,0.287505,0.090553,20.000000,0.000000,20.129793,530.828105
253000,95.946291,14.229049,48.013690,0.000000,0.288568,0.087866,20.000000,0.000000,20.133413,387.857825
254000,96.133016,14.278388,48.215090,0.000000,0.289598,0.084892,20.000000,0.000000,20.145976,466.365786
